id,charger_name,charger_id,address,fast_charger,slow_charger,total_charger
82,삼익가든아파트,서울,서울특별시 강동구 명일동 260-1,0,2,2
83,성내1차이편한세상,서울,서울특별시 강동구 성내동 598,0,2,2
84,성내동중앙하이츠,서울,서울특별시 강동구 성내동 410-2,0,1,1
85,성내삼성 아파트,서울,서울특별시 강동구 성내동 풍성로 128,1,4,5
86,신성둔촌미소지움아파트 입주자대표회의,서울,서울특별시 강동구 둔촌동 명일로 102,1,2,3
87,암사라인 아파트,서울,서울특별시 강동구 암사동 고덕로 53,0,1,1
88,암펠로스타워,서울,서울특별시 강동구 둔촌동 명일로 110,0,1,1
89,천호1동 공영주차장,서울,서울특별시 강동구 구천면로 42길 60(천호동),2,0,2
90,천호유수지,서울,서울특별시 강동구 천호동 329,2,0,2
91,한강포스파크아파트,서울,서울특별시 강동구 암사동 고덕로19길 30,0,1,1
92,한강현대 아파트,서울,서울특별시 강동구 암사동 올림픽로104길 41,1,2,3
93,현대백화점 천호점,서울,서울특별시 강동구 천호대로 1005,3,0,3
94,힐스테이트 강동리버뷰,서울,서울특별시 강동구 암사동 675,0,5,5
95,(고속도로)구정휴게소 동해방향,강원,강원도 강릉시 구정면 제비리 888,4,0,4
96,LH선수촌8단지아파트,강원,강원도 강릉시 유천동 778,0,8,8
97,감자연구소,강원,강원도 강릉시 사천면 노동리 466-1,1,0,1
98,강남동주민센터,강원,강원도 강릉시 노암동 133,1,0,1
99,강릉 교동2차현대아파트,강원,강원도 강릉시 교동 1767,1,1,2
100,강릉금호어울림,강원,강원도 강릉시 입암동 321,1,6,7
101,강릉농협 하나로마트,강원,강원도 강릉시 성남동 26-1,1,0,1
102,강릉아이스아레나 주차장,강원,강원도 강릉시 포남동 산 90-1,4,0,4
103,강릉축협 하나로마트,강원,강원도 강릉시 입암동 448,1,0,1
104,강릉특별지사,강원,강원도 강릉시 포남동 1255,1,3,4
105,강릉회산LH천년나무2단지,강원,강원도 강릉시 회산동 604,1,0,1
106,강원도교육연수원,강원,강원도 강릉시 초당동 57-18,1,0,1
107,강원도립대학,강원,강원도 강릉시 주문진읍 교항리 8-2,1,0,1
108,강원도환동해본부,강원,강원도 강릉시 주문진읍 교항리 118-1,2,0,2
109,강원양돈농협 하나로마트,강원,강원도 강릉시 교동 1888-3,1,0,1
110,강원영동병무지청,강원,강원도 강릉시 노암동 200-11,1,0,1
111,강원지방기상청,강원,강원도 강릉시 사천면 방동리 807-1,2,0,2
112,강원테크노파크,강원,강원도 강릉시 대전동 898-2,1,0,1
113,경포해수욕장,강원,강원도 강릉시 안현동 868-2,1,0,1
114,교1동주민센터,강원,강원도 강릉시 교동 1874-3,1,0,1
115,교2동주민센터,강원,강원도 강릉시 교동 723-5,1,0,1
116,교동e-편한세상 아파트,강원,강원도 강릉시 교동 357,1,2,3
117,그린내하우스,강원,강원도 강릉시 입암동 97-13,0,1,1
118,기산그린타운연립,강원,강원도 강릉시 내곡동 267,0,2,2
119,녹색도시체험센터,강원,강원도 강릉시 운정동 484,3,0,3
120,보헤미안박이추 커피공장,강원,강원도 강릉시 사천면 사천진리 285-11,1,0,1
121,삼우골든아파트,강원,강원도 강릉시 포남동 898-17,0,1,1
122,서희스타힐스리버파크,강원,"강원도 강릉시 회산로 344 (회산동, 서희스타힐스 리버파크 아파트)",1,0,1
123,성덕동주민센터,강원,강원도 강릉시 입암동 599,1,0,1
124,송정동주민센터,강원,강원도 강릉시 송정동 161-2,1,0,1
125,옥계면사무소,강원,강원도 강릉시 옥계면 현내리 310,1,0,1
126,이마트 강릉점,강원,강원도 강릉시 송정동 612-11,2,0,2
127,입암6주공아파트,강원,강원도 강릉시 입암동 709-1,0,3,3
128,주문진해수욕장,강원,강원도 강릉시 주문진읍 향호리 8-17,1,0,1
129,청송 아파트,강원,"강원도 강릉시 하평2길 6 (포남동, 청송아파트 상가)",1,0,1
130,포남2주공아파트,강원,강원도 강릉시 포남동 1209,0,1,1
131,하이빌현대아파트,강원,강원도 강릉시 교동 1759,0,4,4
132,해람중학교옆 공영주차장,강원,강원도 강릉시 용강동 46-2,1,0,1
133,허균허난설헌기념공원,강원,강원도 강릉시 초당동 390,1,0,1
134,홍제동 공영주차장,강원,강원도 강릉시 홍제동 157,1,0,1
135,홍제힐스테이트,강원,강원도 강릉시 홍제동 1007,1,1,2
136,강북문화예술회관,서울,서울특별시 강북구 수유동 360-10,1,0,1
137,강북성북지사,서울,서울특별시 강북구 미아동 190-1,0,7,7
138,강북성북지사(공용),서울,서울특별시 강북구 미아동 190-1,6,2,8
139,래미안미아1차 아파트,서울,서울특별시 강북구 미아동 797,1,1,2
140,미아동부센트레빌,서울,서울특별시 강북구 미아동 474,1,2,3
141,미아한일유앤아이APT,서울,서울특별시 강북구 미아동 1355,0,2,2
142,북서울꿈의숲,서울,서울특별시 강북구 번동 90,2,0,2
143,해모로아파트,서울,서울특별시 강북구 번동 139,1,0,1
144,e편한세상염창,서울,서울특별시 강서구 염창동 309,0,5,5
145,가덕도동 행정복지센터,부산,부산광역시 강서구 성북동 229-1,1,0,1
146,강서경찰서,부산,부산광역시 강서구 명지동 607-5,1,0,1
147,강서경찰서 민원인주차장,서울,서울특별시 강서구 화곡동 980-27,1,0,1
148,강서구청 역세권 공영주차장,부산,부산광역시 강서구 대저1동 2300,2,0,2
149,강서구청 주차장,부산,부산광역시 강서구 낙동북로 477,4,0,4
150,강서브라이트센터,부산,부산광역시 강서구 대저2동 1932-1,2,0,2
151,강서한강자이아파트,서울,서울특별시 강서구 가양동 양천로55길 55,1,1,2
152,녹산산단 공영주차장,부산,부산광역시 강서구 송정동 1759,1,0,1
153,마곡 이웰메디파크,서울,서울특별시 강서구 마곡동 801-7,1,0,1
154,마곡13단지 힐스테이트마스터,서울,서울특별시 강서구 마곡동 748,1,2,3
155,마곡수명산파크1단지,서울,서울특별시 강서구 내발산동 742,1,2,3
156,마곡수명산파크3단지,서울,서울특별시 강서구 내발산동 751,1,1,2
157,마곡수명산파크5단지,서울,서울특별시 강서구 내발산동 749,1,2,3
158,마곡수명산파크6단지,서울,서울특별시 강서구 내발산동 수명로2길 63,1,1,2
159,마곡수명산파크7단지,서울,서울특별시 강서구 내발산동 수명로2가길 22,1,3,4
160,마곡수명산파크8단지,서울,서울특별시 강서구 내발산동 745,0,1,1
161,마곡엠밸리11단지아파트,서울,서울특별시 강서구 마곡동 공항대로 124,0,2,2
162,마곡엠밸리2단지,서울,서울특별시 강서구 마곡동 마곡서1로 146,0,3,3
163,마곡엠밸리3단지,서울,서울특별시 강서구 마곡동 736,1,2,3
164,마곡엠밸리6단지,서울,서울특별시 강서구 마곡동 743,1,4,5
165,마곡엠밸리8단지,서울,서울특별시 강서구 마곡동 마곡서1로 81,1,0,1
166,마곡힐스테이트,서울,서울특별시 강서구 마곡동 725-1,1,3,4
167,명지롯데캐슬 아파트,부산,부산광역시 강서구 명지동 3244,1,0,1
168,명지위브포세이돈,부산,부산광역시 강서구 명지동 3234,1,4,5
169,미음 화물차고지,부산,부산광역시 강서구 미음동 1641,4,0,4
170,미주진로아파트,서울,서울특별시 강서구 등촌동 701,0,2,2
171,방화5단지 아파트,서울,서울특별시 강서구 방화동 금낭화로 287-19,1,3,4
172,방화동부센트레빌,서울,서울특별시 강서구 방화동 875,1,0,1
173,부산테크노파크,부산,부산광역시 강서구 지사동 1274,1,0,1
174,서울남부출입국 외국인사무소,서울,서울특별시 강서구 마곡동 745,1,0,1
175,엘크루블루오션C2,부산,부산광역시 강서구 명지동 3243,1,1,2
176,엘크루솔마레 아파트,부산,부산광역시 강서구 명지동 3235,1,0,1
177,염창힐스테이트 아파트,서울,서울특별시 강서구 염창동 306,0,1,1
178,퀸덤1차 링컨타운,부산,부산광역시 강서구 명지동 3231,1,4,5
179,퀸덤1차 아인슈타인타운,부산,부산광역시 강서구 명지동 3232,1,4,5
180,퀸덤1차 에디슨타운,부산,부산광역시 강서구 명지동 3230-11,1,3,4
181,한국공항공사 고객전용주차장,서울,서울특별시 강서구 과해동 676,1,0,1
182,한국공항공사 서울,서울,서울특별시 강서구 방화동 886,4,0,4
183,한사랑2차삼성 아파트,서울,서울특별시 강서구 공항대로59길 64,1,2,3
184,화곡초록 아파트,서울,서울특별시 강서구 화곡동 1139,1,0,1
185,(주)케이에이치씨,전라,전라남도 강진군 성전면 송학리 839,1,0,1
186,강진전력지사,전라,전라남도 강진군 성전면 월하리 202,0,1,1
187,강진지사(급속),전라,전라남도 강진군 강진읍 동성리 123,1,0,1
188,군동면사무소 민원인주차장,전라,전라남도 강진군 군동면 라천리 268,1,0,1
189,전라남도 환경산업진흥원,전라,전라남도 강진군 성전면 송학리 835,1,0,1
190,칠량면 공영주차장,전라,전라남도 강진군 칠량면 영동리 1071,1,0,1
191,갑곳 제1공영주차장,인천,인천광역시 강화군 강화읍 갑곳리 644,1,0,1
192,강화군청,인천,인천광역시 강화군 강화읍 관청리 163,1,0,1
193,강화지사,인천,인천광역시 강화군 강화읍 갑곳리 350,1,1,2
194,내가면사무소,인천,인천광역시 강화군 내가면 고천리 797-1,1,0,1
195,농업기술센터,인천,인천광역시 강화군 불은면 삼성리 1027-42,1,0,1
196,대룡리 공영주차장,인천,인천광역시 강화군 교동면 대룡리 1111-7,1,0,1
197,동막해변공영주차장,인천,인천광역시 강화군 화도면 동막리 61-19,1,0,1
198,마니산국민관광지,인천,인천광역시 강화군 화도면 상방리 362-1,1,0,1
199,선원면사무소,인천,인천광역시 강화군 선원면 금월리 235-1,1,0,1
200,송해면사무소,인천,인천광역시 강화군 송해면 솔정리 357-2,1,0,1
201,신문 제1공영주차장,인천,인천광역시 강화군 강화읍 신문리 589-1,1,0,1
202,신문리 공영주차장,인천,인천광역시 강화군 강화읍 신문리 593-1,1,0,1
203,온수리 제1공영주차장,인천,인천광역시 강화군 길상면 온수리 480-7,1,0,1
204,창리 제1공영주차장,인천,인천광역시 강화군 선원면 창리 663-1,2,0,2
205,창리공영주차장,인천,인천광역시 강화군 선원면 창리 606-9,1,0,1
206,하점면사무소,인천,인천광역시 강화군 하점면 신봉리 617,1,0,1
207,화개산 공영주차장,인천,인천광역시 강화군 교동면 고구리 1474-5,1,0,1
208,화도면사무소,인천,인천광역시 강화군 화도면 상방리 839-1,1,0,1
209,거붕백병원,경상,경상남도 거제시 상동동 943-5,1,0,1
210,거제2차아이파크,경상,경상남도 거제시 양정동 1096,0,4,4
211,거제고현시장 공영주차장(전통시장),경상,경상남도 거제시 고현동 104-2,1,0,1
212,거제국민체육센터,경상,경상남도 거제시 거제면 서정리 808-7,1,0,1
213,거제농수산물종합유통센터,경상,경상남도 거제시 상동동 590-1,1,0,1
214,거제면사무소,경상,경상남도 거제시 거제면 서상리 298-1,1,0,1
215,거제문화예술회관,경상,경상남도 거제시 장승포동 426-33,1,0,1
216,거제시보건소,경상,경상남도 거제시 양정동 981,1,0,1
217,거제시체육관,경상,경상남도 거제시 고현동 910,1,0,1
218,거제씨월드,경상,경상남도 거제시 일운면 소동리 478-1,1,0,1
219,거제엘크루랜드마크,경상,경상남도 거제시 옥포동 308,1,2,3
220,거제자이 아파트,경상,경상남도 거제시 수월동 1092,1,1,2
221,거제지사,경상,경상남도 거제시 고현동 959-11,1,3,4
222,고현e편한세상,경상,경상남도 거제시 고현동 1081-18,1,2,3
223,농업기술센터,경상,경상남도 거제시 고현동 552,1,0,1
224,덕산베스트타운 아파트,경상,경상남도 거제시 고현동 1039,2,0,2
225,덕진봄아파트,경상,경상남도 거제시 사등면 지석리 1224-1,1,1,2
226,동부면사무소,경상,경상남도 거제시 동부면 산양리 356-2,1,0,1
227,동원우성 빌라트,경상,경상남도 거제시 옥포동 753,0,2,2
228,미진참사랑,경상,경상남도 거제시 아주동 370-1,0,2,2
229,벽산e-솔렌스힐2차,경상,경상남도 거제시 상동동 927-9,1,1,2
230,사곡영진자이온1단지,경상,경상남도 거제시 사등면 사곡리 832-3,1,0,1
231,숲소리 공원,경상,경상남도 거제시 거제면 서상리 산 13,1,0,1
232,신원 아침의도시,경상,경상남도 거제시 고현동 1092-8,0,1,1
233,옥명대우,경상,경상남도 거제시 능포동 224,0,1,1
234,옥명대우2차,경상,경상남도 거제시 능포동 224,1,0,1
235,옥포2동사무소,경상,경상남도 거제시 옥포동 1291-7,1,0,1
236,옥포국제시장주차장,경상,경상남도 거제시 옥포동 530-16,1,0,1
237,옥포국제시장주차장 4층,경상,경상남도 거제시 옥포동 530-16,1,0,1
238,장승포동 공설시민무료주차장,경상,경상남도 거제시 장승포동 713,1,0,1
239,청마기념관,경상,경상남도 거제시 둔덕면 방하리 505-1,1,0,1
240,청명화이트빌,경상,경상남도 거제시 양정동 989-5,0,2,2
241,포로수용소유적공원,경상,경상남도 거제시 고현동 362,1,0,1
242,거창사과원예농협 하나로마트,경상,경상남도 거창군 거창읍 수남로 2241,1,0,1
243,거창지사,경상,경상남도 거창군 거창읍 강남로 246,1,2,3
244,경남도립거창대학,경상,경상남도 거창군 거창읍 대평리 1396,1,0,1
245,국민건강보험공단,경상,경상남도 거창군 거창읍 대동리 983-1,1,0,1
246,신원면사무소,경상,"경상남도 거창군 신원면 신차로 3067 (과정리, 신원면사무소)",1,0,1
247,창포원,경상,경상남도 거창군 남상면 월평리 2286,2,0,2
248,한국승강기대학교,경상,경상남도 거창군 거창읍 송정리 700,2,0,2
249,가일리공영주차장,경상,경상북도 경산시 압량읍 가일길20길 9-1,1,0,1
250,경산 시립박물관 정문 고객 주차장,경상,경상북도 경산시 사동 655-1,1,0,1
251,경산공설시장,경상,경상북도 경산시 서상동 10,2,0,2
252,경산국민체육센터 전기차충전소,경상,경상북도 경산시 진량읍 신상리 685-17,1,0,1
253,경산생활체육공원,경상,경상북도 경산시 상방동 10,1,0,1
254,경산시농업기술센터,경상,경상북도 경산시 자인면 계정길 7,2,0,2
255,경산시보건소,경상,경상북도 경산시 남매로 158,1,0,1
256,경산시청,경상,경상북도 경산시 남매로 159,3,0,3
257,경산태왕귀빈타운,경상,경상북도 경산시 정평동 222,1,0,1
258,경산푸르지오,경상,경상북도 경산시 압량읍 신대리 703,1,3,4
259,경산하양코아루2차,경상,경상북도 경산시 하양읍 하양로37길 19,1,2,3
260,경일대학교,경상,경상북도 경산시 하양읍 부호리 33,2,0,2
261,당리 다목적광장 EVC,경상,경상북도 경산시 압량읍 당리리 471-1,1,0,1
262,동서리공영주차장,경상,경상북도 경산시 하양읍 동서리 593-3번지 일원,1,0,1
263,반곡지 전기충전소,경상,경상북도 경산시 남산면 반곡리 240,2,0,2
264,백천신나리 아파트,경상,경상북도 경산시 백천동 588-1,1,0,1
265,부기리공영주차장,경상,"경상북도 경산시 진량읍 부기리 716, 567-1",2,0,2
266,사동2지구화성파크드림,경상,경상북도 경산시 사동 21,1,1,2
267,삼성현역사문화공원 제1주차장,경상,경상북도 경산시 남산면 인흥리 250,2,0,2
268,삼성현역사문화공원 제2주차장,경상,경상북도 경산시 남산면 삼성현공원로59,2,0,2
269,삼주봉황4차타운,경상,경상북도 경산시 진량읍 북리 100,1,4,5
270,성암산신동아파밀리에,경상,경상북도 경산시 옥곡동 85-1,1,1,2
271,신대부적1차부영사랑으로,경상,경상북도 경산시 압량읍 신대리 485,1,2,3
272,신대부적2차부영아파트,경상,경상북도 경산시 압량읍 신대리 486,1,2,3
273,신대부적공영주차장,경상,"경상북도 경산시 압량읍 신대리 415, 471번지",1,0,1
274,양기리공영주차장,경상,"경상북도 경산시 진량읍 양기리 401-3, 400-7, 400-13, 400-18",2,0,2
275,영남대학교(삼풍동),경상,경상북도 경산시 삼풍동 300,1,0,1
276,영남대학교(조영동),경상,경상북도 경산시 조영동 321,1,0,1
277,옥곡공영주차장,경상,경상북도 경산시 옥곡동 768,2,0,2
278,옥산2지구 지상공영주차장,경상,경상북도 경산시 옥산동 733-1,1,0,1
279,옥산협화타운,경상,경상북도 경산시 옥산동 884,1,2,3
280,와촌면사무소 주차장내,경상,경상북도 경산시 와촌면 덕촌리 57-1,1,0,1
281,용성면사무소,경상,경상북도 경산시 용성면 당리리 158-2,1,0,1
282,우방힐타운,경상,경상북도 경산시 진량읍 신상리 868,1,3,4
283,육동행복센터,경상,경상북도 경산시 용성면 용천리 152-2,1,0,1
284,이마트 경산점,경상,경상북도 경산시 중산동 623,1,0,1
285,자인 교촌리 공영주차장,경상,"경상북도 경산시 자인면 교촌리 192-4, 192-8, 192-22, 192-9, 385",1,0,1
286,자인종합주차장,경상,경상북도 경산시 자인면 서부리 263-1,1,0,1
287,중방e편한세상2단지,경상,경상북도 경산시 중방동 894,1,1,2
288,중산119안전센터,경상,경상북도 경산시 중산동 630-1,1,0,1
289,중소벤처기업진흥공단 대구경북연수원,경상,경상북도 경산시 경청로 222길 86,2,0,2
290,진량복지회관,경상,경상북도 경산시 진량읍 신상리 743-3,1,0,1
291,진량초원장미아파트,경상,경상북도 경산시 진량읍 양기리 403-3,1,2,3
292,하양2차롯데낙천대 아파트,경상,경상북도 경산시 하양읍 금락리 407-1,1,0,1
293,하양금락우방타운,경상,경상북도 경산시 하양읍 금락리 391-1,1,2,3
294,하양읍행정복지센터,경상,경상북도 경산시 하양읍 동서리 180-8,2,0,2
295,한국생산기술연구소 전기차충전소,경상,경상북도 경산시 하양읍 대학리 0,2,0,2
296,한국전력 경산지사,경상,경상북도 경산시 중방동 880-17,2,1,3
297,현대타운,경상,경상북도 경산시 정평동 130,1,1,2
298,(고속도로)외동휴게소 울산방면,경상,경상북도 경주시 외동읍 석계리 산 231-6,5,0,5
299,(고속도로)외동휴게소 포항방면,경상,경상북도 경주시 외동읍 석계리 970,5,0,5
300,e편한세상황성,경상,경상북도 경주시 황성동 1170,1,2,3
301,경주 예술의 전당,경상,경상북도 경주시 황성동 988,2,0,2
302,경주IC휴게소,경상,경상북도 경주시 율동 64-1,2,0,2
303,경주시 농업기술센터,경상,경상북도 경주시 용강동 873-6,2,0,2
304,경주여자정보고등학교,경상,경상북도 경주시 시래동 729-1,1,0,1
305,경주지사,경상,경상북도 경주시 동천동 804,2,5,7
306,경주코아루그랑블아파트,경상,경상북도 경주시 도지동 1018,1,0,1
307,경주푸르지오 아파트,경상,경상북도 경주시 동천동 989,1,2,3
308,경주화백컨벤션센터,경상,경상북도 경주시 신평동 182,3,0,3
309,고려제강 기숙사,경상,경상북도 경주시 건천읍 조전리 13-1,0,1,1
310,농협경주교육원,경상,경상북도 경주시 신평동 235-5,2,0,2
311,동천동 공영주차장,경상,경상북도 경주시 동천동 987-15,2,0,2
312,민속공예촌 제1주차장,경상,경상북도 경주시 하동 201-14,1,0,1
313,불국사농협 하나로마트,경상,경상북도 경주시 시래동 376-3,2,0,2
314,불국사주차장,경상,경상북도 경주시 진현동 50-2,1,0,1
315,서라벌광장휴게소,경상,경상북도 경주시 율동 593,3,0,3
316,세잔베르체,경상,경상북도 경주시 황성동 886-1,0,1,1
317,용강동행정복지센터,경상,경상북도 경주시 용강동 1316-2,1,0,1
318,용강현진에버빌,경상,경상북도 경주시 용강동 1380,1,2,3
319,천북농협 로컬푸드,경상,경상북도 경주시 천북면 모아리 587-2,2,0,2
320,한국농어촌공사 경주지사,경상,경상북도 경주시 황오동 150-1,2,0,2
321,한수원 푸르뫼사택,경상,경상북도 경주시 양북면 어일리 1350,1,3,4
322,한수원아파트,경상,경상북도 경주시 양남면 읍천리 산 13-2,1,3,4
323,현진에버빌1차아파트,경상,경상북도 경주시 황성동 1163,1,3,4
324,황성동 행정복지센터,경상,경상북도 경주시 황성동 167,1,0,1
325,계룡역 공영주차장,충청,충청남도 계룡시 두마면 두계리 134-1,1,0,1
326,금암동 공영주차장,충청,충청남도 계룡시 금암동 155-1,2,0,2
327,금암동 주민센터,충청,충청남도 계룡시 금암동 180-1,1,0,1
328,엄사삼진 아파트,충청,충청남도 계룡시 엄사면 번영3길 73-12,1,0,1
329,계산택지1 공영주차장,인천,인천광역시 계양구 계산동 1060,1,0,1
330,계산택지3 공영주차장,인천,인천광역시 계양구 계산동 1076-4,2,0,2
331,계양1동행정복지센터,인천,인천광역시 계양구 장기동 130,1,0,1
332,계양2동 행정복지센터,인천,인천광역시 계양구 임학동 69-23,1,0,1
333,계양구청,인천,인천광역시 계양구 계산동 1079-1,4,0,4
334,계양구청 문화회관,인천,인천광역시 계양구 계산동 724,1,0,1
335,계양산 공영주차장,인천,인천광역시 계양구 계산동 905,1,0,1
336,작전동보2차 아파트,인천,인천광역시 계양구 작전동 286-1,1,1,2
337,초정마을동아 아파트,인천,인천광역시 계양구 용종동 213-3,1,1,2
338,효성동금호어울림아파트,인천,인천광역시 계양구 효성동 675,0,2,2
339,개진면 행정복지센터 주차장,경상,경상북도 고령군 개진면 개포리 240-1,1,0,1
340,고령군보건소,경상,경상북도 고령군 대가야읍 왕릉로 56-5,1,0,1
