id,charger_name,charger_id,address,fast_charger,slow_charger,total_charger
1,가평소방서,경기,경기도 가평군 가평읍 대곡리 213-5,1,0,1
2,가평종합운동장,경기,경기도 가평군 가평읍 대곡리 316,2,0,2
3,가평지사,경기,경기도 가평군 가평읍 가화로 169-11,1,1,2
4,가평하수도사업소,경기,경기도 가평군 가평읍 달전리 364,1,0,1
5,상면사무소,경기,경기도 가평군 상면 연하리 171-1,1,0,1
6,조종면사무소,경기,경기도 가평군 조종면 현리 567-7,1,0,1
7,조종소방서,경기,경기도 가평군 조종면 현리 413-20,1,0,1
8,청평소방서,경기,경기도 가평군 청평면 하천리 284-5,1,0,1
9,청평호반문화체육센터,경기,경기도 가평군 청평면 청평리 333-13,1,0,1
10,LH강남힐스테이트,서울,서울특별시 강남구 자곡동 자곡로3길 21,1,4,5
11,LH서울지사,서울,서울특별시 강남구 선릉로 121길 12,1,0,1
12,가람아파트,서울,서울특별시 강남구 일원동 일원로 127,1,0,1
13,강남구청 공영주차장,서울,서울특별시 강남구 삼성동 16-1,1,0,1
14,강남데시앙파크,서울,서울특별시 강남구 세곡동 헌릉로590길 63,1,1,2
15,강남데시앙포레,서울,서울특별시 강남구 수서동 광평로34길55,1,3,4
16,강남세브란스 병원,서울,서울특별시 강남구 언주로 211,2,0,2
17,강남아이파크,서울,서울특별시 강남구 자곡동 자곡로 175,1,1,2
18,강남한신휴 플러스8단지,서울,서울특별시 강남구 율현동 밤고개로27길 20,0,2,2
19,강남한신휴플러스6단지 아파트,서울,서울특별시 강남구 율현동 밤고개로26길 50,1,2,3
20,강남한양수자인,서울,서울특별시 강남구 자곡동 자곡로 260,1,4,5
21,개나리래미안 아파트,서울,서울특별시 강남구 역삼동 역삼로 306,1,2,3
22,개나리푸르지오,서울,서울특별시 강남구 역삼동 755-1,0,3,3
23,개포7차 우성 아파트,서울,서울특별시 강남구 일원동 개포로110길 15,1,1,2
24,공무원연금공단 서울지부(상록회관),서울,서울특별시 강남구 역삼동 701,1,0,1
25,금호어울림 아파트(삼성동),서울,서울특별시 강남구 삼성동 봉은사로111길 25,0,1,1
26,대치2문화센터 공영주차장,서울,서울특별시 강남구 대치동 980-9,1,0,1
27,대치현대 아파트,서울,서울특별시 강남구 대치동 삼성로64길 5,1,1,2
28,도곡대림아크로빌,서울,서울특별시 강남구 도곡동 언주로30길 13,1,0,1
29,도곡렉슬 아파트,서울,서울특별시 강남구 도곡동 선릉로 221,2,2,4
30,도성 아파트,서울,서울특별시 강남구 삼성로67길 14,0,2,2
31,라테라스삼성,서울,서울특별시 강남구 삼성동 봉은사로 645,0,1,1
32,래미안강남힐즈,서울,서울특별시 강남구 자곡동 자곡로 101,1,2,3
33,래미안그레이튼,서울,서울특별시 강남구 역삼동 도곡로43길 20,1,1,2
34,래미안대치팰리스,서울,서울특별시 강남구 대치동 삼성로51길 37,2,0,2
35,래미안대치하이스턴 아파트,서울,서울특별시 강남구 대치동 도곡로93길 12,1,1,2
36,래미안삼성1차,서울,서울특별시 강남구 삼성동 103-22,0,2,2
37,삼성동 에스케이뷰 아파트,서울,서울특별시 강남구 삼성동 봉은사로109길 14-8,0,1,1
38,삼성동한일아파트,서울,서울특별시 강남구 삼성동 48,0,1,1
39,삼성동현대아파트,서울,서울특별시 강남구 삼성동 학동로64길 14,0,1,1
40,삼성동힐스테이트2단지,서울,서울특별시 강남구 삼성로 111길 8,1,3,4
41,삼성우정에쉐르아파트,서울,서울특별시 강남구 삼성동 3-8,0,2,2
42,삼성중앙하이츠빌리지,서울,서울특별시 강남구 삼성동 학동로68길 30,0,1,1
43,삼성파크 아파트,서울,서울특별시 강남구 삼성동 삼성로99길 14,0,2,2
44,샘터마을 아파트,서울,서울특별시 강남구 일원동 일원로 120,1,0,1
45,세곡리엔파크1단지,서울,서울특별시 강남구 세곡동 508,0,3,3
46,세곡리엔파크2단지 아파트,서울,서울특별시 강남구 세곡동 헌릉로 590길10,1,0,1
47,세곡리엔파크3단지,서울,서울특별시 강남구 세곡동 헌릉로590길 11,1,1,2
48,세곡푸르지오아파트,서울,서울특별시 강남구 세곡동 533,1,1,2
49,아이파크삼성동,서울,서울특별시 강남구 삼성동 영동대로 640,1,0,1
50,아크로힐스논현,서울,서울특별시 강남구 논현동 276-1,1,0,1
51,역삼2차아이파크아파트,서울,서울특별시 강남구 역삼동 도곡로57길 12,0,3,3
52,역삼e-편한세상,서울,서울특별시 강남구 역삼동 755-4,1,3,4
53,역삼래미안,서울,서울특별시 강남구 역삼동 757,1,4,5
54,우정에쉐르 3차,서울,서울특별시 강남구 대치동 950,0,1,1
55,청담래미안로이뷰,서울,서울특별시 강남구 청담동 영동대로142길 16,0,1,1
56,청담자이 아파트,서울,서울특별시 강남구 청담동 영동대로138길 12,1,3,4
57,청담파크파라곤,서울,서울특별시 강남구 청담동 학동로97길 31,0,1,1
58,타워팰리스 2차,서울,서울특별시 강남구 도곡동 언주로30길 57,1,1,2
59,타워팰리스1차,서울,서울특별시 강남구 도곡동 언주로30길 56,1,4,5
60,타워팰리스G동,서울,서울특별시 강남구 도곡동 언주로30길 26,1,2,3
61,헌릉로745길 노상주차장,서울,서울특별시 강남구 율현동 101-13,1,0,1
62,현대까르띠에710아파트,서울,서울특별시 강남구 역삼동 710,0,2,2
63,GS강동자이 아파트,서울,서울특별시 강동구 천호대로 1239(길동),1,2,3
64,강동보건소,서울,서울특별시 강동구 성내동 541-2,1,0,1
65,강동송파지사,서울,서울특별시 강동구 둔촌동 522-9,1,3,4
66,강동아트센터(강동문화재단),서울,서울특별시 강동구 상일동 477,2,0,2
67,강동역 신동아 파밀리에,서울,서울특별시 강동구 천호동 천호대로 1089,1,0,1
68,강일리버파크 6단지,서울,서울특별시 강동구 강일동 아리수로94길 19,1,0,1
69,강일리버파크10단지,서울,서울특별시 강동구 강일동 고덕로97길 20,1,0,1
70,강일리버파크11단지,서울,서울특별시 강동구 강일동 고덕로97길 100,0,1,1
71,강일리버파크3단지,서울,서울특별시 강동구 강일동 아리수로93길 40,1,0,1
72,강일리버파크7단지 아파트,서울,서울특별시 강동구 아리수로98길 25,1,3,4
73,경보그레이스 힐,서울,서울특별시 강동구 성내동 풍성로53길 40,0,2,2
74,고덕리엔파크1단지,서울,서울특별시 강동구 상일로 152,0,2,2
75,고덕리엔파크3단지 아파트,서울,서울특별시 강동구 상일로 74,2,6,8
76,고덕아이파크,서울,서울특별시 강동구 고덕동 동남로79길 26,1,3,4
77,길동삼익파크,서울,서울특별시 강동구 길동 명일로 293,1,2,3
78,대우한강베네시티 아파트,서울,서울특별시 강동구 올림픽로 664,0,2,2
79,둔촌푸르지오아파트,서울,서울특별시 강동구 둔촌동 명일로 172,1,3,4
80,명일동 공영주차장,서울,서울특별시 강동구 구천면로 395(명일동),2,0,2
81,명일한양아파트,서울,서울특별시 강동구 명일동 동남로71길 19,1,0,1
