id,name,full_date,car,year
1,서울,2025-05-01,88212,2025
2,서울,2025-04-01,86217,2025
3,서울,2025-03-01,85220,2025
4,서울,2025-02-01,84172,2025
5,서울,2025-01-01,83562,2025
6,서울,2024-12-01,83868,2024
7,서울,2024-11-01,82824,2024
8,서울,2024-10-01,81599,2024
9,서울,2024-09-01,81088,2024
10,서울,2024-08-01,80474,2024
11,서울,2024-07-01,79548,2024
12,서울,2024-06-01,78215,2024
13,서울,2024-05-01,76551,2024
14,서울,2024-04-01,75282,2024
15,서울,2024-03-01,74438,2024
16,서울,2024-02-01,72981,2024
17,서울,2024-01-01,72877,2024
18,서울,2023-12-01,72937,2023
19,서울,2023-06-01,59327,2023
20,서울,2022-12-01,59327,2022
21,서울,2022-11-01,57351,2022
22,서울,2022-10-01,55335,2022
23,서울,2022-09-01,53798,2022
24,서울,2022-08-01,51240,2022
25,서울,2022-07-01,49590,2022
26,서울,2022-06-01,48362,2022
27,서울,2022-05-01,46722,2022
28,서울,2022-04-01,45133,2022
29,서울,2022-03-01,43206,2022
30,서울,2022-02-01,41693,2022
31,서울,2022-01-01,41140,2022
32,서울,2021-12-01,40564,2021
33,서울,2021-11-01,38840,2021
34,서울,2021-10-01,35067,2021
35,서울,2021-09-01,33434,2021
36,서울,2021-08-01,31220,2021
37,서울,2021-07-01,29325,2021
38,서울,2021-06-01,28752,2021
39,서울,2021-05-01,27013,2021
40,서울,2021-04-01,25581,2021
41,서울,2021-03-01,24918,2021
42,서울,2021-02-01,23381,2021
43,서울,2021-01-01,23441,2021
44,서울,2020-12-01,23393,2020
45,서울,2020-11-01,23052,2020
46,서울,2020-10-01,22767,2020
47,서울,2020-09-01,22118,2020
48,서울,2020-08-01,20997,2020
49,서울,2020-07-01,20003,2020
50,서울,2020-06-01,19411,2020
51,서울,2020-05-01,18098,2020
52,서울,2020-04-01,17622,2020
53,서울,2020-03-01,17172,2020
54,서울,2020-02-01,16438,2020
55,서울,2020-01-01,15353,2020
56,서울,2019-12-01,14952,2019
57,서울,2019-11-01,13726,2019
58,서울,2019-10-01,12711,2019
59,서울,2019-09-01,12389,2019
60,서울,2019-08-01,12050,2019
61,서울,2019-07-01,11764,2019
62,서울,2019-06-01,11082,2019
63,서울,2019-05-01,10613,2019
64,서울,2019-04-01,10175,2019
65,서울,2019-03-01,9934,2019
66,서울,2019-02-01,9647,2019
67,서울,2019-01-01,9571,2019
68,서울,2018-12-01,9564,2018
69,서울,2018-11-01,9329,2018
70,서울,2018-10-01,8619,2018
71,서울,2018-09-01,8105,2018
72,서울,2018-08-01,7480,2018
73,서울,2018-07-01,6942,2018
74,서울,2018-06-01,6177,2018
75,서울,2018-05-01,5545,2018
76,서울,2018-04-01,5184,2018
77,서울,2018-03-01,5036,2018
78,서울,2018-02-01,4911,2018
79,서울,2018-01-01,4851,2018
80,서울,2017-12-01,4797,2017
81,서울,2017-11-01,4279,2017
82,서울,2017-10-01,3908,2017
83,서울,2017-09-01,3530,2017
84,서울,2017-08-01,2894,2017
85,서울,2017-07-01,2678,2017
86,서울,2017-06-01,2327,2017
87,서울,2017-05-01,1932,2017
88,서울,2017-04-01,1714,2017
89,서울,2017-03-01,1692,2017
90,서울,2017-02-01,1649,2017
91,서울,2017-01-01,1589,2017
92,서울,2016-12-01,1498,2016
93,서울,2016-11-01,1436,2016
94,서울,2016-10-01,1300,2016
95,서울,2016-09-01,1261,2016
96,서울,2016-08-01,1222,2016
97,서울,2016-07-01,1207,2016
98,서울,2016-06-01,1177,2016
99,서울,2016-05-01,1168,2016
100,서울,2016-04-01,1166,2016
101,서울,2016-03-01,1183,2016
102,서울,2016-02-01,1163,2016
103,서울,2016-01-01,1136,2016
104,서울,2015-12-01,1151,2015
105,서울,2015-11-01,1140,2015
106,서울,2015-10-01,1120,2015
107,서울,2015-09-01,1080,2015
108,서울,2015-08-01,1010,2015
109,서울,2015-07-01,961,2015
110,서울,2015-06-01,909,2015
111,서울,2015-05-01,903,2015
112,서울,2015-04-01,906,2015
113,서울,2015-03-01,878,2015
114,서울,2015-02-01,866,2015
115,서울,2015-01-01,832,2015
116,서울,2014-12-01,785,2014
117,서울,2014-11-01,742,2014
118,서울,2014-10-01,736,2014
119,서울,2014-09-01,736,2014
120,서울,2014-08-01,745,2014
121,서울,2014-07-01,726,2014
122,서울,2014-06-01,696,2014
123,서울,2014-05-01,691,2014
124,서울,2014-04-01,668,2014
125,서울,2014-03-01,527,2014
126,서울,2014-02-01,514,2014
127,서울,2014-01-01,516,2014
128,서울,2013-12-01,475,2013
129,서울,2013-11-01,387,2013
130,서울,2013-10-01,381,2013
131,서울,2013-09-01,371,2013
132,서울,2013-08-01,371,2013
133,서울,2013-07-01,370,2013
134,서울,2013-06-01,370,2013
135,서울,2013-05-01,368,2013
136,서울,2013-04-01,366,2013
137,서울,2013-03-01,330,2013
138,서울,2013-02-01,283,2013
139,서울,2013-01-01,278,2013
140,서울,2012-12-01,205,2012
141,서울,2012-11-01,188,2012
142,서울,2012-10-01,181,2012
143,서울,2012-09-01,176,2012
144,서울,2012-08-01,151,2012
145,서울,2012-07-01,143,2012
146,서울,2012-06-01,126,2012
147,서울,2012-05-01,120,2012
148,서울,2012-04-01,108,2012
149,서울,2012-03-01,108,2012
150,서울,2012-02-01,108,2012
151,서울,2012-01-01,108,2012
152,서울,2011-12-01,103,2011
153,서울,2011-11-01,94,2011
154,서울,2011-10-01,92,2011
155,서울,2011-09-01,77,2011
156,서울,2011-08-01,77,2011
157,서울,2011-07-01,78,2011
158,서울,2011-06-01,76,2011
159,서울,2011-05-01,74,2011
160,서울,2011-04-01,74,2011
161,서울,2011-03-01,72,2011
162,서울,2011-02-01,68,2011
163,서울,2011-01-01,54,2011
164,서울,2010-12-01,52,2010
165,서울,2010-11-01,34,2010
166,서울,2010-10-01,33,2010
167,서울,2010-09-01,31,2010
168,서울,2010-08-01,20,2010
169,서울,2010-07-01,19,2010
170,경기,2025-05-01,169781,2025
171,경기,2025-04-01,163834,2025
172,경기,2025-03-01,159685,2025
173,경기,2025-02-01,155103,2025
174,경기,2025-01-01,152165,2025
175,경기,2024-12-01,151850,2024
176,경기,2024-11-01,149479,2024
177,경기,2024-10-01,145219,2024
178,경기,2024-09-01,141404,2024
179,경기,2024-08-01,138713,2024
180,경기,2024-07-01,134741,2024
181,경기,2024-06-01,131038,2024
182,경기,2024-05-01,127098,2024
183,경기,2024-04-01,123610,2024
184,경기,2024-03-01,120975,2024
185,경기,2024-02-01,115414,2024
186,경기,2024-01-01,114735,2024
187,경기,2023-12-01,114117,2023
188,경기,2023-06-01,77648,2023
189,경기,2022-12-01,77648,2022
190,경기,2022-11-01,75811,2022
191,경기,2022-10-01,72328,2022
192,경기,2022-09-01,67941,2022
193,경기,2022-08-01,63314,2022
194,경기,2022-07-01,59744,2022
195,경기,2022-06-01,56232,2022
196,경기,2022-05-01,53239,2022
197,경기,2022-04-01,50111,2022
198,경기,2022-03-01,45891,2022
199,경기,2022-02-01,41266,2022
200,경기,2022-01-01,40239,2022
201,경기,2021-12-01,39958,2021
202,경기,2021-11-01,38563,2021
203,경기,2021-10-01,37084,2021
204,경기,2021-09-01,35385,2021
205,경기,2021-08-01,33832,2021
206,경기,2021-07-01,31820,2021
207,경기,2021-06-01,30030,2021
208,경기,2021-05-01,26944,2021
209,경기,2021-04-01,24841,2021
210,경기,2021-03-01,23887,2021
211,경기,2021-02-01,21100,2021
212,경기,2021-01-01,20670,2021
213,경기,2020-12-01,20477,2020
214,경기,2020-11-01,19903,2020
215,경기,2020-10-01,19332,2020
216,경기,2020-09-01,18512,2020
217,경기,2020-08-01,17197,2020
218,경기,2020-07-01,16508,2020
219,경기,2020-06-01,15946,2020
220,경기,2020-05-01,14876,2020
221,경기,2020-04-01,14546,2020
222,경기,2020-03-01,14100,2020
223,경기,2020-02-01,12510,2020
224,경기,2020-01-01,11809,2020
225,경기,2019-12-01,11750,2019
226,경기,2019-11-01,11388,2019
227,경기,2019-10-01,11035,2019
228,경기,2019-09-01,10657,2019
229,경기,2019-08-01,10304,2019
230,경기,2019-07-01,9877,2019
231,경기,2019-06-01,9267,2019
232,경기,2019-05-01,8549,2019
233,경기,2019-04-01,7872,2019
234,경기,2019-03-01,7290,2019
235,경기,2019-02-01,6579,2019
236,경기,2019-01-01,6493,2019
237,경기,2018-12-01,6383,2018
238,경기,2018-11-01,6162,2018
239,경기,2018-10-01,5676,2018
240,경기,2018-09-01,5235,2018
241,경기,2018-08-01,4909,2018
242,경기,2018-07-01,4559,2018
243,경기,2018-06-01,4084,2018
244,경기,2018-05-01,3426,2018
245,경기,2018-04-01,3042,2018
246,경기,2018-03-01,2846,2018
247,경기,2018-02-01,2603,2018
248,경기,2018-01-01,2454,2018
249,경기,2017-12-01,2290,2017
250,경기,2017-11-01,2059,2017
251,경기,2017-10-01,1813,2017
252,경기,2017-09-01,1714,2017
253,경기,2017-08-01,1522,2017
254,경기,2017-07-01,1264,2017
255,경기,2017-06-01,1162,2017
256,경기,2017-05-01,1074,2017
257,경기,2017-04-01,1028,2017
258,경기,2017-03-01,882,2017
259,경기,2017-02-01,772,2017
260,경기,2017-01-01,707,2017
261,경기,2016-12-01,650,2016
262,경기,2016-11-01,611,2016
263,경기,2016-10-01,563,2016
264,경기,2016-09-01,521,2016
265,경기,2016-08-01,494,2016
266,경기,2016-07-01,458,2016
267,경기,2016-06-01,400,2016
268,경기,2016-05-01,364,2016
269,경기,2016-04-01,354,2016
270,경기,2016-03-01,335,2016
271,경기,2016-02-01,325,2016
272,경기,2016-01-01,318,2016
273,경기,2015-12-01,313,2015
274,경기,2015-11-01,291,2015
275,경기,2015-10-01,281,2015
276,경기,2015-09-01,259,2015
277,경기,2015-08-01,239,2015
278,경기,2015-07-01,217,2015
279,경기,2015-06-01,211,2015
280,경기,2015-05-01,191,2015
281,경기,2015-04-01,185,2015
282,경기,2015-03-01,182,2015
283,경기,2015-02-01,176,2015
284,경기,2015-01-01,170,2015
285,경기,2014-12-01,169,2014
286,경기,2014-11-01,164,2014
287,경기,2014-10-01,147,2014
288,경기,2014-09-01,143,2014
289,경기,2014-08-01,138,2014
290,경기,2014-07-01,141,2014
291,경기,2014-06-01,130,2014
292,경기,2014-05-01,119,2014
293,경기,2014-04-01,120,2014
294,경기,2014-03-01,120,2014
295,경기,2014-02-01,119,2014
296,경기,2014-01-01,117,2014
297,경기,2013-12-01,108,2013
298,경기,2013-11-01,106,2013
299,경기,2013-10-01,101,2013
300,경기,2013-09-01,101,2013
301,경기,2013-08-01,101,2013
302,경기,2013-07-01,101,2013
303,경기,2013-06-01,101,2013
304,경기,2013-05-01,101,2013
305,경기,2013-04-01,101,2013
306,경기,2013-03-01,98,2013
307,경기,2013-02-01,93,2013
308,경기,2013-01-01,93,2013
309,경기,2012-12-01,84,2012
310,경기,2012-11-01,63,2012
311,경기,2012-10-01,57,2012
312,경기,2012-09-01,55,2012
313,경기,2012-08-01,50,2012
314,경기,2012-07-01,50,2012
