id,name,full_date,car,year
81,충청,2020-12-01,3883,2020
82,충청,2020-06-01,3199,2020
83,충청,2019-12-01,2412,2019
84,충청,2019-06-01,1973,2019
85,전라,2024-12-01,31417,2024
86,전라,2024-06-01,27622,2024
87,전라,2023-12-01,24200,2023
88,전라,2023-06-01,15387,2023
89,전라,2022-12-01,15387,2022
90,전라,2022-06-01,11549,2022
91,전라,2021-12-01,8708,2021
92,전라,2021-06-01,6643,2021
93,전라,2020-12-01,5223,2020
94,전라,2020-06-01,4323,2020
95,전라,2019-12-01,3326,2019
96,전라,2019-06-01,2979,2019
97,전라,2024-12-01,24872,2024
98,전라,2024-06-01,21918,2024
99,전라,2023-12-01,19795,2023
100,전라,2023-06-01,12727,2023
101,전라,2022-12-01,12727,2022
102,전라,2022-06-01,9723,2022
103,전라,2021-12-01,7365,2021
104,전라,2021-06-01,5104,2021
105,전라,2020-12-01,3323,2020
106,전라,2020-06-01,2745,2020
107,전라,2019-12-01,1841,2019
108,전라,2019-06-01,1586,2019
109,강원,2024-12-01,21004,2024
110,강원,2024-06-01,19268,2024
111,강원,2023-12-01,18236,2023
112,강원,2023-06-01,14012,2023
113,강원,2022-12-01,14012,2022
114,강원,2022-06-01,10159,2022
115,강원,2021-12-01,7946,2021
116,강원,2021-06-01,5200,2021
117,강원,2020-12-01,4078,2020
118,강원,2020-06-01,2952,2020
119,강원,2019-12-01,2445,2019
120,강원,2019-06-01,1945,2019
121,제주,2024-12-01,49007,2024
122,제주,2024-06-01,42436,2024
123,제주,2023-12-01,39418,2023
124,제주,2023-06-01,32976,2023
125,제주,2022-12-01,32976,2022
126,제주,2022-06-01,27622,2022
127,제주,2021-12-01,25571,2021
128,제주,2021-06-01,22838,2021
129,제주,2020-12-01,21285,2020
130,제주,2020-06-01,19705,2020
131,제주,2019-12-01,18178,2019
132,제주,2019-06-01,17101,2019
133,부산,2024-12-01,44259,2024
134,부산,2024-06-01,39519,2024
135,부산,2023-12-01,34643,2023
136,부산,2023-06-01,22063,2023
137,부산,2022-12-01,22063,2022
138,부산,2022-06-01,17206,2022
139,부산,2021-12-01,12375,2021
140,부산,2021-06-01,8503,2021
141,부산,2020-12-01,5355,2020
142,부산,2020-06-01,4100,2020
143,부산,2019-12-01,3216,2019
144,부산,2019-06-01,2234,2019
145,대구,2024-12-01,35212,2024
146,대구,2024-06-01,32159,2024
147,대구,2023-12-01,30396,2023
148,대구,2023-06-01,24161,2023
149,대구,2022-12-01,24161,2022
150,대구,2022-06-01,19705,2022
151,대구,2021-12-01,16185,2021
152,대구,2021-06-01,13974,2021
153,대구,2020-12-01,12630,2020
154,대구,2020-06-01,12356,2020
155,대구,2019-12-01,11313,2019
156,대구,2019-06-01,8307,2019
157,광주,2024-12-01,15240,2024
158,광주,2024-06-01,13485,2024
159,광주,2023-12-01,12538,2023
160,광주,2023-06-01,9096,2023
161,광주,2022-12-01,9096,2022
162,광주,2022-06-01,6766,2022
163,광주,2021-12-01,5194,2021
164,광주,2021-06-01,4081,2021
165,광주,2020-12-01,3210,2020
166,광주,2020-06-01,2844,2020
167,광주,2019-12-01,2464,2019
168,광주,2019-06-01,2024,2019
169,대전,2024-12-01,21314,2024
170,대전,2024-06-01,19618,2024
171,대전,2023-12-01,17889,2023
172,대전,2023-06-01,14476,2023
173,대전,2022-12-01,14476,2022
174,대전,2022-06-01,10468,2022
175,대전,2021-12-01,7701,2021
176,대전,2021-06-01,5836,2021
177,대전,2020-12-01,4469,2020
178,대전,2020-06-01,3126,2020
179,대전,2019-12-01,2555,2019
180,대전,2019-06-01,1937,2019
181,울산,2024-12-01,9817,2024
182,울산,2024-06-01,8671,2024
183,울산,2023-12-01,7838,2023
184,울산,2023-06-01,5061,2023
185,울산,2022-12-01,5061,2022
186,울산,2022-06-01,4181,2022
187,울산,2021-12-01,3166,2021
188,울산,2021-06-01,2897,2021
189,울산,2020-12-01,2274,2020
190,울산,2020-06-01,2110,2020
191,울산,2019-12-01,1447,2019
192,울산,2019-06-01,1019,2019
193,세종,2024-12-01,5424,2024
194,세종,2024-06-01,4747,2024
195,세종,2023-12-01,4393,2023
196,세종,2023-06-01,3034,2023
197,세종,2022-12-01,3034,2022
198,세종,2022-06-01,2394,2022
199,세종,2021-12-01,1859,2021
200,세종,2021-06-01,1404,2021
201,세종,2020-12-01,1148,2020
202,세종,2020-06-01,1044,2020
203,세종,2019-12-01,903,2019
204,세종,2019-06-01,800,2019
205,합계,2024-12-01,684244,2024
206,합계,2024-06-01,606610,2024
207,합계,2023-12-01,543900,2023
208,합계,2023-06-01,389855,2023
209,합계,2022-12-01,389855,2022
210,합계,2022-06-01,298633,2022
211,합계,2021-12-01,231443,2021
212,합계,2021-06-01,173147,2021
213,합계,2020-12-01,134962,2020
214,합계,2020-06-01,111307,2020
215,합계,2019-12-01,89918,2019
216,합계,2019-06-01,72814,2019
