id,name,full_date,car,year
1,서울,2024-12-01,83868,2024
2,서울,2024-06-01,78215,2024
3,서울,2023-12-01,72937,2023
4,서울,2023-06-01,59327,2023
5,서울,2022-12-01,59327,2022
6,서울,2022-06-01,48362,2022
7,서울,2021-12-01,40564,2021
8,서울,2021-06-01,28752,2021
9,서울,2020-12-01,23393,2020
10,서울,2020-06-01,19411,2020
11,서울,2019-12-01,14952,2019
12,서울,2019-06-01,11082,2019
13,경기,2024-12-01,151850,2024
14,경기,2024-06-01,131038,2024
15,경기,2023-12-01,114117,2023
16,경기,2023-06-01,77648,2023
17,경기,2022-12-01,77648,2022
18,경기,2022-06-01,56232,2022
19,경기,2021-12-01,39958,2021
20,경기,2021-06-01,30030,2021
21,경기,2020-12-01,20477,2020
22,경기,2020-06-01,15946,2020
23,경기,2019-12-01,11750,2019
24,경기,2019-06-01,9267,2019
25,인천,2024-12-01,54398,2024
26,인천,2024-06-01,46697,2024
27,인천,2023-12-01,40397,2023
28,인천,2023-06-01,26242,2023
29,인천,2022-12-01,26242,2022
30,인천,2022-06-01,18329,2022
31,인천,2021-12-01,12820,2021
32,인천,2021-06-01,7790,2021
33,인천,2020-12-01,5366,2020
34,인천,2020-06-01,3741,2020
35,인천,2019-12-01,2598,2019
36,인천,2019-06-01,1985,2019
37,경상,2024-12-01,46628,2024
38,경상,2024-06-01,41818,2024
39,경상,2023-12-01,36225,2023
40,경상,2023-06-01,22740,2023
41,경상,2022-12-01,22740,2022
42,경상,2022-06-01,16486,2022
43,경상,2021-12-01,12606,2021
44,경상,2021-06-01,8685,2021
45,경상,2020-12-01,6308,2020
46,경상,2020-06-01,4805,2020
47,경상,2019-12-01,3626,2019
48,경상,2019-06-01,3108,2019
49,경상,2024-12-01,33905,2024
50,경상,2024-06-01,29838,2024
51,경상,2023-12-01,26776,2023
52,경상,2023-06-01,19154,2023
53,경상,2022-12-01,19154,2022
54,경상,2022-06-01,14478,2022
55,경상,2021-12-01,11240,2021
56,경상,2021-06-01,8676,2021
57,경상,2020-12-01,7051,2020
58,경상,2020-06-01,4980,2020
59,경상,2019-12-01,4051,2019
60,경상,2019-06-01,3159,2019
61,충청,2024-12-01,30654,2024
62,충청,2024-06-01,27330,2024
63,충청,2023-12-01,24130,2023
64,충청,2023-06-01,16611,2023
65,충청,2022-12-01,16611,2022
66,충청,2022-06-01,13298,2022
67,충청,2021-12-01,9991,2021
68,충청,2021-06-01,7254,2021
69,충청,2020-12-01,5489,2020
70,충청,2020-06-01,3920,2020
71,충청,2019-12-01,2841,2019
72,충청,2019-06-01,2308,2019
73,충청,2024-12-01,25375,2024
74,충청,2024-06-01,22231,2024
75,충청,2023-12-01,19972,2023
76,충청,2023-06-01,15140,2023
77,충청,2022-12-01,15140,2022
78,충청,2022-06-01,11675,2022
79,충청,2021-12-01,8194,2021
80,충청,2021-06-01,5480,2021
